Text,Entities
"ProHealth Marketing Pte. Ltd. - Everything for good health
63 Jalan Pemimpin, #04-05 Pemimpin Industrial Building,
Singapore 577219","[('ProHealth Marketing Pte. Ltd.', 'ORGANIZATION'), ('63 Jalan Pemimpin,', 'LOCATION'), ('#04-05', 'OTHER'), ('Pemimpin Industrial Building,\nSingapore 577219', 'LOCATION')]"
"Care One has been a proven leader in staffing solutions for the past 24 years delivering short-term, long-term, and per diem professionals.","[('Care One', 'ORGANIZATION'), ('24 years', 'QUANTITY')]"
See related links to what you are looking for.,[]
Skills Kemahiran Kolej Yayasan Pahang Advanced Skills Computer System Bakery Kitchen Practise Electrical Automotive Fashion Welding Office Management VTO Short Courses,"[('Kolej Yayasan Pahang', 'ORGANIZATION')]"
"CS Motorsports is your 1-Stop-Shop for all things automotive! Wheels, Tires, Lift Kits, Remote Start, Leather/Heated Seats, Window Tint and more! WE FINANCE!","[('CS Motorsports', 'ORGANIZATION'), ('1-Stop-Shop', 'QUANTITY')]"
This is a default index page for a new domain.,[]
"Find out which are the most amazing photos, videos and stories around the web.",[]
"Official site for UK rock band AT THE SUN. Keep up to date with news, reviews and tour dates | New album 'Leave Before The Light' Out Now","[('UK', 'LOCATION'), ('AT THE SUN', 'ORGANIZATION'), ('Leave Before The Light', 'TITLE')]"
"Rivi is an AI that you can have a conversation with to plan a fully personalized trip - Flights, Hotels, Vacation Rentals, Things to do, Restaurants and Nightlife.","[('Rivi', 'OTHER'), ('AI', 'OTHER')]"
"We've been providing proven IT services to businesses since 1973. It's our mission to deliver the right mix of secure and reliable hardware, software and services to support your business. Consider us your always there and always care tech team.","[('1973', 'DATE')]"
"Whether you run a restaurant, concession stand, or packed school cafeteria, Atlantic Distributors has all the right equipment and supplies for your busy establishment.","[('Atlantic Distributors', 'ORGANIZATION')]"
"This website is for sale! jatropha.com is your first and best source for all of the information you’re looking for. From general topics to more of what you would expect to find here, jatropha.com has it all. We hope you find what you are searching for!","[('jatropha.com', 'ORGANIZATION'), ('first', 'QUANTITY'), ('jatropha.com', 'ORGANIZATION')]"
Web site created using create-react-app,[]
"Choose MBicycle, a professional software outsourcing company, to get your custom web and mobile solutions!","[('MBicycle', 'TITLE')]"
Aircraft Shopper Online is the most comprehensive and up-to-date aircraft listing source. More than half the aircraft dealers and brokers in North America use ASO to publicize their available inventory.,"[('More than half the aircraft', 'QUANTITY'), ('North America', 'LOCATION'), ('ASO', 'ORGANIZATION')]"
"We aim to provide the harbour towage, terminal management and logistic services, through our involved, dedicated and skilled people, delivering excellent customer service.",[]
"Sidewalk Cafe in Denton Texas. Serving Breakfast all day, brunch, lunch, and dinner. Meeting/Event space for Denton","[('Sidewalk Cafe', 'ORGANIZATION'), ('Denton Texas', 'LOCATION'), ('Denton', 'LOCATION')]"
"Home Inspections By Eric is a service of M & ME Properties LLC, serving communities of Western North Carolina.","[('Eric', 'PERSON'), ('M & ME Properties LLC', 'ORGANIZATION'), ('Western North Carolina', 'LOCATION')]"
We are a boutique Accounting Firm based in Perth. Our team has extensive experience in accounting and taxation advice through to holistic business consulting.,"[('Perth', 'LOCATION')]"
"Turn your business and your profession into a Human Experience Agency, and become the Human Experience Trusted Advisor, through Smart Income Methods",[]
"Here  you will get English Grammar, Language skills, General Knowledge, education, scholarship news, and  reading, writing and speaking skills","[('English', 'OTHER')]"
"King & Partners is an agency providing strategy, branding,creative, campaigns, marketing and eCommerce servicesto exceptional brands across an array of categories.","[('King & Partners', 'ORGANIZATION')]"
Thames Enrich is a training provider mainly provides personal digital marketing training to the SME in Malaysia. Our mission is to provide an entrepreneur solutions.,"[('Thames Enrich', 'ORGANIZATION'), ('Malaysia', 'LOCATION')]"
"Duraco Specialty Tapes is a manufacturer and distributor of adhesive tapes, foam tapes, hook and loop tapes, removable tapes, and other adhesive products for a wide array of applications.","[('Duraco Specialty Tapes', 'ORGANIZATION')]"
Just another WordPress site,"[('WordPress', 'TITLE')]"
"The Dockside Group manages some of the best venues and restaurants in Sydney. Choose from L’Aqua and Dockside, located at Cockle Bay Wharf, Star Room and Eat Love Pizza overlooking  Darling Harbour or Waterfront, Wolfies, or the Italian Village, all located on the sandstone shores of The Rocks overlooking the Sydney Opera House.  Each with a unique ambience and provides a stunning backdrop combined with Dockside’s exquisite menu and superior service, your next event will be a day to remember.","[('Dockside Group', 'ORGANIZATION'), ('Sydney', 'LOCATION'), ('L’Aqua', 'ORGANIZATION'), ('Dockside', 'ORGANIZATION'), ('Cockle Bay Wharf', 'LOCATION'), ('Star', 'LOCATION'), ('Room', 'ORGANIZATION'), ('Eat Love Pizza', 'ORGANIZATION'), ('Darling Harbour', 'LOCATION'), ('Waterfront', 'LOCATION'), ('Wolfies', 'LOCATION'), ('Italian Village', 'LOCATION'), ('The Rocks', 'LOCATION'), ('Sydney Opera House', 'LOCATION'), ('Each', 'QUANTITY'), ('Dockside', 'ORGANIZATION')]"
"Dycor creates complete Process Control,Data Acquisition, and Logging solutions for Industrial manufacturing, Oil and Gas and Municipal services.","[('Dycor', 'ORGANIZATION')]"
"GSM Marketing provides a complete menu of marketing services for wealth managers, financial advisors and retirement plan professionals.","[('GSM Marketing', 'TITLE')]"
Stand out with our premium clothing concepts this season.,[]
Nautical Bits UK - Shop the Ultimate Nautical T-Shirt Collection For Sailors. ALL of our designs are created based on a Sailing or Boating theme...,"[('UK', 'LOCATION')]"
NJ Technologies offers businesses the opportunity to leverage from the strong domain & technical expertise of a richly experienced & committed team. Know more!,"[('NJ Technologies', 'ORGANIZATION')]"
Responsive HTML5 Template,"[('HTML5', 'OTHER')]"
"Sideways is a digital-first branding and creative agency. Our hospitality 
and lifestyle expertise deeply influences our ability to differentiate your 
brand.",[]
"Manufacturer of Quality Pet Products in Ontario, CA since 2003 including Automatic Pet Feeders, Cat Trees, Dog Kennels / Cages, Pet Water Fountains & more!","[('Ontario, CA', 'LOCATION'), ('2003', 'DATE')]"
Overseas Education Consultants in Pune - Qbix Academia is the best overseas education consultant in Pune for all the global higher education. We are the leaders in the educational consultancy and consult the students for study abroad. ,"[('Pune', 'LOCATION'), ('Qbix Academia', 'ORGANIZATION'), ('Pune', 'LOCATION')]"
A world-leading integrated project and programme management consultancy.,[]
See related links to what you are looking for.,[]
"The world's first pet toy that allows you to play with your pet dog or cat from anywhere, anytime.<br>","[('first pet toy', 'QUANTITY')]"
"maxdiamond, 3D generalist and motion graphics designer based in Bangalore, India.","[('maxdiamond', 'PERSON'), ('Bangalore, India', 'LOCATION')]"
"If your facility has power quality issues and your electrical system is experiencing issues and unnecessary maintenance, then O&M Resources is here to help you with products and technology dedicated to filtering, protecting and backing up your electrical system. Technology that keeps your electrical system running effectively and efficiently.","[('O&M Resources', 'ORGANIZATION')]"
"Expert Engineers are a fast growing professionally managed engineering comapny engaged in the manufacturing of Electrical Control Panels, swichboard, List of top suppliers of Distribution Control Panel suppliers, manufacturers, wholesalers, traders with Electric Control Panel prices for buying.",[]
Goldray are the new psych rock project from ex-REEF guitarist Kenwyn House!,"[('Goldray', 'PERSON'), ('REEF', 'ORGANIZATION'), ('Kenwyn House', 'PERSON')]"
AV Integration is a proudly South Australian owned & operated company.,"[('AV Integration', 'ORGANIZATION'), ('South Australian', 'OTHER')]"
A leading provider of digital and retail international money transfer and payments services and foreign currency exchange services.,[]
"Rides, Food & Games for your next event.",[]
The Best Provably Fair Bitcoin Dice Site with REAL Instant Withdrawals. No Registration Required. Join our Contests with a Huge Prizes! This is Your Chance to Win Big with Luckygames!,"[('Luckygames', 'ORGANIZATION')]"
"At OPPLE, We’re not just building better lighting, were inventing better light. Get to know our company and products today.","[('OPPLE', 'ORGANIZATION'), ('today', 'DATE')]"
"ABM Enterprise a holding company for Design , Entertainment and Motorsport","[('ABM Enterprise', 'ORGANIZATION')]"
Slash your energy bills with sustainable & reliable solar power. Beyond Solar is a locally owned company providing solar panels for Sydney and NSW homes.,"[('Beyond Solar', 'ORGANIZATION'), ('Sydney', 'LOCATION'), ('NSW', 'LOCATION')]"
"Test equipment for sale and rental. Excalibur Engineering offers calibration services & repair of most electrical, instrument & pressure test equipment.","[('Excalibur Engineering', 'ORGANIZATION')]"
"Tools for making the internet fast, accessible, expressive, and green.",[]
"Auger Filler Pouch Packing Machine, Automatic Filling and Sealing Machines for Food Industry & Semi Automatic filling Machines Exporter offered by Genius Engineering from Faridabad, Haryana, India","[('Auger Filler', 'ORGANIZATION'), ('Genius Engineering', 'ORGANIZATION'), ('Faridabad, Haryana, India', 'LOCATION')]"
"Dillard's: Shop designer dresses, shoes, clothing, handbags, cosmetics and beauty, bedding, lingerie, wedding registry items and more.","[(""Dillard's"", 'ORGANIZATION')]"
"An award-winning general contractor and construction management team, ACL Construction (s) Pte Ltd has been building structures of enduring quality for more than 10 years.

We have constructed in virtually every industry and have broad experience with Housing & Development Board & Lift Upgrading Programmes, Land & Transport Authority Road & Rail Works, Chemical & Water Reclamation Plant Projects, Singapore Air Force Camps / Prisons / Naval Bases and Ministry of Education School Buildings / Upgrading works.

ACL Construction (s) Pte Ltd is a primary contractor working in both the public and private sectors with contracts ranging from fixed-price, cost-plus, design-build-operate, to fast-track construction projects.","[('ACL Construction (s) Pte Ltd', 'ORGANIZATION'), ('more than 10 years', 'QUANTITY'), ('Board', 'ORGANIZATION'), ('Singapore Air Force Camps', 'ORGANIZATION'), ('ACL Construction (s) Pte Ltd', 'ORGANIZATION'), ('both', 'QUANTITY')]"
Solaris Resources is a multi-asset copper company focused on exploring and developing copper projects in the Americas.,"[('Solaris Resources', 'ORGANIZATION'), ('Americas', 'LOCATION')]"
"It is very difficult to manufacture high quality wooden door in Bangladesh, due to the fact that, our weather don't produce high quality timber, we get some best quality timber.","[('Bangladesh', 'LOCATION')]"
"The Rose Bower florist is situated in the Nottinghamshire town of Sutton-in-Ashfield, whether it’s a birthday, anniversary, sympathy or celebration, we use a selection of the finest, freshest cut flowers and foliages to create your design and  are able to offer same day delivery up until 2pm.","[('Rose Bower', 'ORGANIZATION'), ('Nottinghamshire', 'LOCATION'), ('Sutton-in-Ashfield', 'LOCATION'), ('2pm', 'DATE')]"
This domain may be for sale,[]
"Personal blog of XuanYan, in which he writes about web development and some other things.","[('XuanYan', 'PERSON')]"
Welcome to North Terminal. IT support services for homes and businesses in Northumberland and W3C compliant web design for the world!,"[('North Terminal', 'ORGANIZATION'), ('Northumberland', 'LOCATION')]"
STX Precision (JB) Sdn. Bhd. is a Malaysia based manufacturer of precision metal parts and components using high-pressure die-casting of aluminium and zinc alloys.,"[('STX Precision (JB) Sdn. Bhd.', 'ORGANIZATION'), ('Malaysia', 'LOCATION')]"
"Dasse, combining delicate esthetics of quality with the power of corporate solidity, is a brand originated in Turkey with a global combined network. The firm dynamically conducts business operations in Europe, Asia and several countries in the Middle East.","[('Turkey', 'LOCATION'), ('Europe', 'LOCATION'), ('Asia', 'LOCATION'), ('several countries', 'QUANTITY'), ('Middle East', 'LOCATION')]"
"Silver Star Properties | Top REALTORS® and market leaders on Silver Star Mountain Resort, Priscilla and Don are your dedicated and successful team!","[('Silver Star Properties', 'ORGANIZATION'), ('Silver Star Mountain Resort', 'ORGANIZATION'), ('Priscilla', 'PERSON'), ('Don', 'ORGANIZATION')]"
"Harvest Klang is a great local church located in the Klang Valley. We have vibrant and effective ministries ranging from toddlers, kids, teens, working adults to senior adults. If you are from Klang or you’re new in town, we’d love to get to know you better. ","[('Harvest Klang', 'ORGANIZATION'), ('Klang Valley', 'LOCATION'), ('Klang', 'LOCATION')]"
Vital Nutrients is a leading manufacturer of high quality nutritional supplements trusted by healthcare practitioners and hospitals worldwide. Learn more here!,"[('Vital Nutrients', 'ORGANIZATION')]"
Tossing Pancakes in a Force Seven!,"[('Seven', 'QUANTITY')]"
"Extreme Cleaning Services provides various outdoor cleaning services in Ogden, UT, and surrounding areas. Inquire about our window washing & deep clean service!","[('Extreme Cleaning Services', 'ORGANIZATION'), ('Ogden, UT', 'LOCATION')]"
V.eye - Keep your business on,[]
"Boston website design and web design, Boston, MA - We create custom websites and offer hosting services. Maximize your web presence. Call 617 924-0077","[('Boston', 'LOCATION'), ('Boston, MA', 'LOCATION'), ('617 924-0077', 'OTHER')]"
Quality stair parts for contractors,[]
We're a product design company with nearly 60 years of success creating some of the world's most well-known products.,"[('nearly 60 years', 'QUANTITY')]"
"Grand Living offers a collection of elegant French Provincial, contemporary & children's furniture that will accentuate your home and provide your family with years of luxury living.","[('Grand Living', 'ORGANIZATION'), ('French', 'OTHER')]"
"Laxton Properties is a small, independent property development company run by Chartered Surveyors and focused on the delivery of high quality, well built homes in great locations throughout Hertfordshire and Buckinghamshire.","[('Laxton Properties', 'ORGANIZATION'), ('Chartered Surveyors', 'ORGANIZATION'), ('Hertfordshire', 'LOCATION'), ('Buckinghamshire', 'LOCATION')]"
BKP is a niche developer that develops unique projects. Our projects ,"[('BKP', 'ORGANIZATION')]"
Excellent Health Starts with You. At NBI we formulate and manufacture products that give you results. NBI was founded in 2006 and we’re proud to be making..,"[('NBI', 'ORGANIZATION'), ('NBI', 'ORGANIZATION'), ('2006', 'DATE')]"
Just another WordPress site,"[('WordPress', 'TITLE')]"
"Passionate about Payroll, the ESOS team has over 250 years of Payroll experience","[('Payroll', 'TITLE'), ('ESOS', 'ORGANIZATION'), ('over 250 years', 'QUANTITY')]"
" H2 Design is a full service interior design firm. We create interiors, 
kitchens, bathrooms and additions. We manage the process from start to 
finish. H2 Design brings clients quality design for a fraction of the cost 
of a high priced design firms.","[('H2 Design', 'ORGANIZATION'), ('H2 Design', 'ORGANIZATION')]"
"CN Cleaning provides residential common part area cleaning service on a regular basis. If it is a residential or commercial building and you need a reliable, efficient cleaning service we have you covered.","[('CN Cleaning', 'ORGANIZATION')]"
Fast Star can you bring your ideas to life or suggest strategies and ideas you may have never thought of before.,"[('Fast', 'OTHER'), ('Star', 'TITLE')]"
Polaris Scientific is a premier company providing laboratory equipment solution in Kenya and East African region,"[('Polaris Scientific', 'ORGANIZATION'), ('Kenya', 'LOCATION'), ('East African', 'LOCATION')]"
Pronounced as Carbon. We are a skincare brand rooted in wellness. Discover and shop our luxurious range of bath and body products powered by nature. Free shipping available within India.,"[('Carbon', 'ORGANIZATION'), ('India', 'LOCATION')]"
Mercutek: Adding value to secondary Raw Materials.,"[('Mercutek', 'ORGANIZATION')]"
"Conroy’s desire is to serve our clientele with top technology consultants and services, leading to extended contracts and long-lasting successful relationships.","[('Conroy', 'ORGANIZATION')]"
"Ibramarketing is a Full-Service Marketing Agency that specializes in Google Adwords, Social Media Marketing, and Web designs. Call today for a FREE consultation. We are here to help.","[('Ibramarketing', 'ORGANIZATION'), ('Google Adwords', 'TITLE'), ('today', 'DATE')]"
TOP US is a specialist recruiting firm that works with Japanese-related businesses throughout the US.,"[('TOP US', 'ORGANIZATION'), ('Japanese', 'OTHER'), ('US', 'LOCATION')]"
"Since 1979, Manning Company specializes in hand crafted finest custom made luxurious tailored bespoke suits, trousers shirts and tuxedos","[('1979', 'DATE'), ('Manning Company', 'ORGANIZATION')]"
SG Logistics is a delivery platform where you can sign up for opportunities to deliver healthy salads and bowls from Sweetgreen to local businesses that have signed up for Sweetgreen’s Outpost program.,"[('SG Logistics', 'TITLE'), ('Sweetgreen', 'ORGANIZATION'), ('Sweetgreen', 'ORGANIZATION'), ('Outpost', 'ORGANIZATION')]"
"With the lean approach and building software, optimise your construction schedule, boost productivity and maximise customer satisfaction.",[]
"Ground Engineering (GE) magazine provides information on new and practical aspects of geotechnics, engineering geology and geo-environmental engineering.","[('Ground Engineering', 'TITLE'), ('GE', 'TITLE')]"
"TBC Provide professional marketing solutions for a wide range of businesses. Our services include marketing, advertising...","[('TBC', 'ORGANIZATION')]"
